CP_municipio,Municipio,Codigo Estado,Codigo min de municipio,Codigo max de municipio,Zona horaria
01001,Aguascalientes,01,20000,20396,Tiempo del Centro
01002,Asientos,01,20700,20799,Tiempo del Centro
01003,Calvillo,01,20800,20890,Tiempo del Centro
01004,Cosío,01,20460,20478,Tiempo del Centro
01005,Jesús María,01,20900,20997,Tiempo del Centro
01006,Pabellón de Arteaga,01,20663,20687,Tiempo del Centro
01007,Rincón de Romos,01,20400,20454,Tiempo del Centro
01008,San José de Gracia,01,20500,20590,Tiempo del Centro
01009,Tepezalá,01,20600,20659,Tiempo del Centro
01010,El Llano,01,20330,20339,Tiempo del Centro
01011,San Francisco de los Romo,01,20300,20358,Tiempo del Centro
02001,Ensenada,02,22750,22997,Tiempo del Noroeste en Frontera
02002,Mexicali,02,21000,21980,Tiempo del Noroeste en Frontera
02003,Tecate,02,21400,21573,Tiempo del Noroeste en Frontera
02004,Tijuana,02,22000,22667,Tiempo del Noroeste en Frontera
02005,Playas de Rosarito,02,22700,22746,Tiempo del Noroeste en Frontera
03001,Comondú,03,23600,23873,Tiempo del Pacífico
03002,Mulegé,03,23900,23997,Tiempo del Pacífico
03003,La Paz,03,23000,23395,Tiempo del Pacífico
03008,Los Cabos,03,23400,23597,Tiempo del Pacífico
03009,Loreto,03,23880,23899,Tiempo del Pacífico
04001,Calkiní,04,24900,24936,Tiempo del Centro
04002,Campeche,04,24000,24576,Tiempo del Centro
04003,Carmen,04,24100,24328,Tiempo del Centro
04004,Champotón,04,24400,24495,Tiempo del Centro
04005,Hecelchakán,04,24800,24863,Tiempo del Centro
04006,Hopelchén,04,24600,24678,Tiempo del Centro
04007,Palizada,04,24200,24208,Tiempo del Centro
04008,Tenabo,04,24700,24734,Tiempo del Centro
04009,Escárcega,04,24350,24377,Tiempo del Centro
04010,Calakmul,04,24640,24658,Tiempo del Centro
04011,Candelaria,04,24330,24348,Tiempo del Centro
05001,Abasolo,05,25540,25567,Tiempo del Centro
05002,Acuña,05,26200,26328,Tiempo del Centro en Frontera
05003,Allende,05,26530,26597,Tiempo del Centro
05004,Arteaga,05,25350,25399,Tiempo del Centro
05005,Candela,05,25570,25590,Tiempo del Centro
05006,Castaños,05,25870,25898,Tiempo del Centro
05007,Cuatro Ciénegas,05,27640,27695,Tiempo del Centro
05008,Escobedo,05,25470,25496,Tiempo del Centro
05009,Francisco I. Madero,05,27900,27938,Tiempo del Centro
05010,Frontera,05,25600,25823,Tiempo del Centro
05011,General Cepeda,05,25950,25998,Tiempo del Centro
05012,Guerrero,05,26640,26662,Tiempo del Centro en Frontera
05013,Hidalgo,05,26670,26670,Tiempo del Centro en Frontera
05014,Jiménez,05,26400,26435,Tiempo del Centro en Frontera
05015,Juárez,05,25400,25419,Tiempo del Centro
05016,Lamadrid,05,27700,27739,Tiempo del Centro
05017,Matamoros,05,27440,27478,Tiempo del Centro
05018,Monclova,05,25700,25866,Tiempo del Centro
05019,Morelos,05,26500,26526,Tiempo del Centro
05020,Múzquiz,05,26340,26370,Tiempo del Centro
05021,Nadadores,05,27550,27588,Tiempo del Centro
